language,number,constructions
artificial_language_g1_39_m3_m4,2,2
artificial_language_g1_39_m3_m4,3,3
artificial_language_g1_39_m3_m4,4,4
artificial_language_g1_39_m3_m4,5,5
artificial_language_g1_39_m3_m4,6,6
artificial_language_g1_39_m3_m4,7,7
artificial_language_g1_39_m3_m4,8,(7 + 1)
artificial_language_g1_39_m3_m4,9,(7 + 2)
artificial_language_g1_39_m3_m4,10,(7 + 3)
artificial_language_g1_39_m3_m4,11,(7 + 4)
artificial_language_g1_39_m3_m4,12,(7 + 5)
artificial_language_g1_39_m3_m4,13,(7 + 6)
artificial_language_g1_39_m3_m4,14,(2 * 7)
artificial_language_g1_39_m3_m4,15,((2 * 7) + 1)
artificial_language_g1_39_m3_m4,16,((2 * 7) + 2)
artificial_language_g1_39_m3_m4,17,((2 * 7) + 3)
artificial_language_g1_39_m3_m4,18,((2 * 7) + 4)
artificial_language_g1_39_m3_m4,19,((2 * 7) + 5)
artificial_language_g1_39_m3_m4,20,((2 * 7) + 6)
artificial_language_g1_39_m3_m4,21,(3 * 7)
artificial_language_g1_39_m3_m4,22,((3 * 7) + 1)
artificial_language_g1_39_m3_m4,23,((3 * 7) + 2)
artificial_language_g1_39_m3_m4,24,((3 * 7) + 3)
artificial_language_g1_39_m3_m4,25,((3 * 7) + 4)
artificial_language_g1_39_m3_m4,26,((3 * 7) + 5)
artificial_language_g1_39_m3_m4,27,((3 * 7) + 6)
artificial_language_g1_39_m3_m4,28,(4 * 7)
artificial_language_g1_39_m3_m4,29,((4 * 7) + 1)
artificial_language_g1_39_m3_m4,30,((4 * 7) + 2)
artificial_language_g1_39_m3_m4,31,((4 * 7) + 3)
artificial_language_g1_39_m3_m4,32,((4 * 7) + 4)
artificial_language_g1_39_m3_m4,33,((4 * 7) + 5)
artificial_language_g1_39_m3_m4,34,((4 * 7) + 6)
artificial_language_g1_39_m3_m4,35,(5 * 7)
artificial_language_g1_39_m3_m4,36,((5 * 7) + 1)
artificial_language_g1_39_m3_m4,37,((5 * 7) + 2)
artificial_language_g1_39_m3_m4,38,((5 * 7) + 3)
artificial_language_g1_39_m3_m4,39,((5 * 7) + 4)
artificial_language_g1_39_m3_m4,40,((5 * 7) + 5)
artificial_language_g1_39_m3_m4,41,((5 * 7) + 6)
artificial_language_g1_39_m3_m4,42,(6 * 7)
artificial_language_g1_39_m3_m4,43,((6 * 7) + 1)
artificial_language_g1_39_m3_m4,44,((6 * 7) + 2)
artificial_language_g1_39_m3_m4,45,((6 * 7) + 3)
artificial_language_g1_39_m3_m4,46,((6 * 7) + 4)
artificial_language_g1_39_m3_m4,47,((6 * 7) + 5)
artificial_language_g1_39_m3_m4,48,((6 * 7) + 6)
artificial_language_g1_39_m3_m4,49,(7 * 7)
artificial_language_g1_39_m3_m4,50,((7 * 7) + 1)
